epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2458,1.75084,2.00559,1.88855,0.38034,0.36282,0.30438,0.10389,1.94092,10.2446,2.0436,0.000332803,0.000332803,0.0670525
2,162.409,1.76759,2.05974,1.93295,0.49008,0.38981,0.3611,0.14665,1.84813,7.55051,1.91253,0.000665973,0.000665973,0.0340524
3,240.554,1.72894,1.99432,1.88692,0.5429,0.47151,0.48198,0.21005,1.71453,5.65872,1.80181,0.000998493,0.000998493,0.00105157
4,317.048,1.66588,1.85368,1.82877,0.59698,0.54723,0.56006,0.26848,1.59526,3.54447,1.66792,0.000997803,0.000997803,0.000997803
5,394.72,1.57784,1.71269,1.75537,0.58778,0.5907,0.59165,0.2967,1.47382,4.83627,1.60754,0.000996097,0.000996097,0.000996097
6,472.343,1.54206,1.65431,1.7304,0.69804,0.60132,0.6546,0.32188,1.49508,4.12775,1.5762,0.000993906,0.000993906,0.000993906
7,549.27,1.50858,1.57244,1.693,0.66829,0.5982,0.65809,0.34014,1.39003,2.2882,1.51897,0.000991232,0.000991232,0.000991232
8,626.451,1.48238,1.49683,1.65975,0.68557,0.5982,0.66598,0.3621,1.36182,2.8185,1.49211,0.000988079,0.000988079,0.000988079
9,703.797,1.46314,1.47393,1.65484,0.67592,0.63193,0.66335,0.35122,1.40078,4.07598,1.53035,0.000984449,0.000984449,0.000984449
10,780.775,1.44557,1.42617,1.64589,0.71926,0.69715,0.7545,0.42059,1.31604,2.12904,1.44972,0.000980345,0.000980345,0.000980345
11,858.632,1.43322,1.39208,1.62637,0.73349,0.67466,0.74365,0.39544,1.38831,3.16093,1.48405,0.000975773,0.000975773,0.000975773
12,935.373,1.40484,1.35444,1.59744,0.7781,0.67691,0.76495,0.44002,1.25362,2.63961,1.39357,0.000970736,0.000970736,0.000970736
13,1011.76,1.38697,1.32109,1.58285,0.76001,0.70915,0.77455,0.44093,1.25475,2.09218,1.37941,0.000965239,0.000965239,0.000965239
14,1089.05,1.35788,1.26542,1.56005,0.79487,0.71964,0.79682,0.47464,1.2277,1.4319,1.36856,0.000959289,0.000959289,0.000959289
15,1167.07,1.35135,1.26613,1.55506,0.7919,0.72789,0.7952,0.46367,1.22332,2.43535,1.36347,0.000952889,0.000952889,0.000952889
16,1244.47,1.33788,1.25043,1.54299,0.74694,0.73538,0.77695,0.45885,1.2134,2.35802,1.35773,0.000946048,0.000946048,0.000946048
